Time	UE Id	DistanceX	DistanceY
14.8	0	-101.906	-41.6409
14.8	1	-143.68	-27.8071
14.8	2	-168.301	-38.0414
14.9	0	-101.759	-41.8289
14.9	1	-143.692	-27.975
14.9	2	-168.01	-38.0012
15	0	-101.612	-42.017
15	1	-143.451	-27.9282
15	2	-167.719	-37.9611
15.1	0	-101.466	-42.205
15.1	1	-143.209	-27.8815
15.1	2	-167.614	-38.0856
15.2	0	-101.424	-42.3672
15.2	1	-142.968	-27.8347
15.2	2	-167.724	-38.4005
15.3	0	-101.69	-42.4537
15.3	1	-142.727	-27.7991
15.3	2	-167.834	-38.7153
15.4	0	-101.956	-42.5403
15.4	1	-142.504	-27.9097
15.4	2	-167.841	-38.7234
15.5	0	-102.222	-42.6269
15.5	1	-142.281	-28.0203
15.5	2	-167.729	-38.3788
15.6	0	-102.54	-42.5418
15.6	1	-142.057	-28.131
15.6	2	-167.618	-38.0341
15.7	0	-102.881	-42.376
15.7	1	-141.843	-28.2552
15.7	2	-167.475	-37.8178
15.8	0	-103.217	-42.2287
15.8	1	-141.773	-28.5944
15.8	2	-167.319	-37.6553
15.9	0	-103.447	-42.4672
15.9	1	-141.702	-28.9336
15.9	2	-167.164	-37.4929
16	0	-103.677	-42.7056
16	1	-141.696	-29.1977
16	2	-167.008	-37.3304
16.1	0	-103.899	-42.9437
16.1	1	-141.993	-29.1013
16.1	2	-166.971	-37.2034
16.2	0	-103.828	-43.1697
16.2	1	-142.291	-29.0049
16.2	2	-167.271	-37.1763
16.3	0	-103.757	-43.3956
16.3	1	-142.588	-28.9085
16.3	2	-167.571	-37.1492
16.4	0	-103.686	-43.6216
16.4	1	-142.914	-28.9578
16.4	2	-167.871	-37.1222
16.5	0	-103.614	-43.8476
16.5	1	-143.241	-29.0112
16.5	2	-168.101	-37.3315
16.6	0	-103.429	-43.8439
16.6	1	-143.568	-29.0645
16.6	2	-168.327	-37.5561
16.7	0	-103.217	-43.7844
16.7	1	-143.325	-29.1334
16.7	2	-168.553	-37.7807
16.8	0	-103.004	-43.7248
16.8	1	-143.055	-29.2031
16.8	2	-168.385	-37.7574
16.9	0	-102.791	-43.6653
16.9	1	-142.785	-29.2728
16.9	2	-168.119	-37.6722
17	0	-102.724	-43.6362
17	1	-142.672	-29.3834
17	2	-167.853	-37.5869
17.1	0	-103.035	-43.6859
17.1	1	-142.828	-29.5639
17.1	2	-167.648	-37.4475
17.2	0	-103.346	-43.7357
17.2	1	-142.985	-29.7444
17.2	2	-167.66	-37.1155
17.3	0	-103.652	-43.792
17.3	1	-143.141	-29.925
17.3	2	-167.671	-36.7835
17.4	0	-103.914	-43.906
17.4	1	-143.26	-30.0118
17.4	2	-167.67	-36.4529
17.5	0	-104.177	-44.02
17.5	1	-143.208	-29.6764
17.5	2	-167.624	-36.1275
17.6	0	-104.44	-44.134
17.6	1	-143.157	-29.3409
17.6	2	-167.578	-35.8021
17.7	0	-104.37	-44.0514
17.7	1	-143.181	-29.137
17.7	2	-167.551	-35.5659
17.8	0	-104.087	-43.8432
17.8	1	-143.452	-29.3613
17.8	2	-167.619	-35.7756
17.9	0	-103.804	-43.635
17.9	1	-143.723	-29.5855
17.9	2	-167.688	-35.9852
18	0	-103.656	-43.4309
18	1	-143.794	-29.794
18	2	-167.756	-36.1949
18.1	0	-103.551	-43.228
18.1	1	-143.556	-29.9781
18.1	2	-167.824	-36.4045
18.2	0	-103.445	-43.0251
18.2	1	-143.317	-30.1622
18.2	2	-167.897	-36.3454
18.3	0	-103.339	-42.8222
18.3	1	-143.079	-30.3315
18.3	2	-167.973	-36.129
18.4	0	-103.409	-42.6817
18.4	1	-142.854	-30.313
18.4	2	-168.049	-35.9127
18.5	0	-103.752	-42.6379
18.5	1	-142.63	-30.2945
18.5	2	-168.125	-35.6963
18.6	0	-104.094	-42.5942
18.6	1	-142.405	-30.276
18.6	2	-168.131	-35.4603
18.7	0	-104.359	-42.4628
18.7	1	-142.18	-30.2575
18.7	2	-167.949	-35.171
18.8	0	-104.544	-42.2419
18.8	1	-142.106	-30.4035
